cena klienta,km ³adowne,czas,data 1 za³adunku,data ost roz³adunku,wsp za³,wsp za³,wsp roz³ad,wsp roz³ad,,wylkm,roznicakm,%
420,375,1,14/04/28 8:00,14/04/29 8:00,48.45000000,7.81670000,46.757,4.998,,282,93,75.2
600,408,1.020833333,14/04/29 7:30,14/04/30 8:00,46.94960000,4.47070000,43.9006,5.0886,,342,66,83.82352941
490,463,2,14/04/30 8:00,14/05/02 8:00,43.78670000,5.00460000,44.4,0.6333,,355,108,76.67386609
760,724,3.416666667,14/05/02 0:00,14/05/05 10:00,44.76150000,-0.15230000,43.7985,6.9303,,573,151,79.14364641
850,482,0.833333333,14/05/05 16:00,14/05/06 12:00,45.20740000,7.53740000,46.8221,3.7695,,341,141,70.74688797
480,580,0.875,14/05/06 15:00,14/05/07 12:00,46.90010000,4.38830000,50.0368,7.8647,,432,148,74.48275862
1060,1084,1.708333333,14/05/07 15:00,14/05/09 8:00,49.88670000,8.62840000,43.778,7.0545,,689,395,63.56088561
1000,475,0.916666667,14/05/12 18:00,14/05/13 16:00,44.61670000,8.85000000,47.7481,7.6269,,360,115,75.78947368
712,659,3,14/05/30 8:00,14/06/02 8:00,52.83720000,13.20500000,49.2592,8.6583,,509,150,77.23823976
860,717,0.75,14/06/02 18:00,14/06/03 12:00,48.88360000,9.21210000,45.3439,5.7288,,473,244,65.9693166
850,557,1,14/06/03 8:00,14/06/04 8:00,45.67240000,4.99840000,44.6431,0.621,,361,196,64.81149013
1400,1525,4,14/06/05 8:00,14/06/09 8:00,44.51760000,0.08610000,41.8545,13.7979,,1148,377,75.27868852
1080,669,1,14/06/11 8:00,14/06/12 8:00,44.03390000,10.88970000,44.3392,4.8079,,486,183,72.64573991
350,356,0.833333333,14/06/12 12:00,14/06/13 8:00,43.49070000,5.43840000,45.8305,5.1092,,261,95,73.31460674
450,523,2.875,14/06/13 14:00,14/06/16 11:00,45.75000000,4.80000000,48.8354,7.7414,,408,115,78.01147228
730,688,0.958333333,14/06/16 15:00,14/06/17 14:00,49.35080000,7.23600000,53.71,9.9784,,520,168,75.58139535
390,458,0.708333333,14/06/17 21:00,14/06/18 14:00,53.16750000,10.56150000,49.9997,8.9994,,368,90,80.34934498
470,517,0.833333333,14/06/18 16:00,14/06/19 12:00,50.62620000,8.66390000,52.7128,13.4874,,405,112,78.33655706
375,509,0.75,14/06/23 16:00,14/06/24 10:00,52.53890000,12.97220000,51.6667,19.2333,,438,71,86.05108055
1400,1055,3.625,14/07/03 17:00,14/07/07 8:00,51.27030000,13.01870000,46.3,4.75,,819,236,77.63033175
650,553,1.208333333,14/07/07 12:00,14/07/08 17:00,45.83050000,5.10920000,44.0517,1.292,,359,194,64.91862568
500,494,1,14/07/09 8:00,14/07/10 8:00,43.51830000,1.95450000,43.7624,7.1278,,417,77,84.41295547
1250,839,1.166666667,14/07/10 8:00,14/07/11 12:00,45.23300000,7.52320000,47.3311,-0.1521,,633,206,75.44696067
400,478,0.875,14/07/15 8:00,14/07/16 5:00,47.26670000,-0.88330000,50.1,2.3,,392,86,82.0083682
800,701,1,14/07/16 8:00,14/07/17 8:00,50.90690000,2.12080000,47.5333,5.0833,,432,269,61.62624822
1000,618,3,14/07/18 8:00,14/07/21 8:00,46.90010000,4.38830000,43.4506,1.6773,,438,180,70.87378641
850,1067,1.625,14/07/21 17:00,14/07/23 8:00,43.73050000,1.08750000,51.15,5.1,,878,189,82.28678538
930,626,1.041666667,14/07/23 13:00,14/07/24 14:00,51.45000000,6.38330000,47.8727,2.808,,473,153,75.55910543
550,437,0.875,14/07/24 14:00,14/07/25 11:00,48.10290000,1.90390000,51.4098,3.225,,379,58,86.72768879
1160,1338,3.895833333,14/07/25 14:30,14/07/29 12:00,51.41670000,4.41670000,45.99,11.3663,,789,549,58.96860987
2900,1509,2.291666667,14/07/29 8:00,14/07/31 15:00,46.11510000,12.85640000,48.6665,-1.7677,,1134,375,75.14910537
360,564,2.833333333,14/08/01 16:00,14/08/04 12:00,48.11860000,0.78360000,51.2333,5.1833,,469,95,83.15602837
505,581,1.065972222,14/08/04 10:25,14/08/05 12:00,51.02080000,6.97860000,52.8833,13.1833,,472,109,81.23924269
500,589,1,14/08/06 8:00,14/08/07 8:00,51.94830000,13.95430000,52.2833,21.1167,,490,99,83.19185059
1150,1030,1.791666667,14/08/25 11:00,14/08/27 6:00,53.71040000,10.24230000,49.3466,0.2293,,844,186,81.94174757
1150,870,1.25,14/08/27 12:00,14/08/28 18:00,49.57790000,1.10470000,43.9167,4.1667,,671,199,77.12643678
850,811,3,14/08/29 8:00,14/09/01 8:00,45.13330000,4.90000000,49.375,-0.3224,,614,197,75.70900123
